Machine_ID,Machine_Type,Processing_Time_Min,Waiting_Time_Min,Downtime_Min,Throughput_Units,Worker_Count,Machine_Utilization_Percent,Defect_Rate_Percent,Energy_Consumption_kWh,Bottleneck_Score,Factory_Health_Score
M14860,M,54.43,10.7,5.0,72.2,2,98.0,0.0,116.62,19.18,89.91
L47181,L,56.6,11.82,2.15,64.49,7,99.14,0.08,120.76,21.28,88.99
L47182,L,55.35,12.75,6.25,68.53,7,97.5,0.13,128.76,23.02,87.6
L47183,L,56.35,10.44,6.35,66.43,2,97.46,0.19,107.66,18.94,89.52
L47184,L,56.78,10.72,8.45,65.04,7,96.62,0.24,108.16,19.52,88.92
M14865,M,56.59,11.36,8.55,65.57,6,96.58,0.29,112.3,20.73,88.2
L47186,L,54.74,11.72,4.7,72.04,3,98.12,0.37,115.96,21.48,88.04
L47187,L,55.26,11.33,9.8,70.68,2,96.08,0.43,110.94,20.85,87.74
M14868,M,53.28,8.59,0.9,79.05,2,99.64,0.48,90.54,16.01,90.95
M14869,M,52.29,8.68,5.05,82.71,4,97.98,0.56,90.82,16.27,90.24
H29424,H,51.79,7.9,10.2,85.15,5,95.92,0.64,83.44,14.96,90.22
H29425,H,57.16,13.4,5.45,64.45,5,97.82,0.77,117.06,24.99,85.41
M14872,M,58.53,15.5,8.7,59.2,2,96.52,0.91,128.98,28.93,82.85
M14873,M,52.76,10.46,1.85,81.87,4,99.26,0.99,94.84,20.0,87.84
L47194,L,48.58,8.1,4.0,97.7,3,98.4,1.07,79.9,15.87,89.53
L47195,L,55.82,15.46,8.1,69.37,4,96.76,1.12,127.64,29.13,82.38
M14876,M,59.24,15.17,5.2,57.96,7,97.92,1.17,119.42,28.68,82.79
M14877,M,57.89,15.16,3.35,62.92,7,98.66,1.25,119.4,28.77,82.78
H29432,H,59.49,17.62,10.5,56.49,3,95.8,1.33,135.12,33.29,79.64
M14879,M,54.9,12.52,9.75,75.34,6,96.1,1.47,97.64,24.31,83.93
H29434,H,58.73,15.32,8.9,61.09,3,96.44,1.55,112.9,29.42,81.31
L47201,L,57.79,16.24,9.15,64.38,5,96.34,1.68,118.6,31.24,80.1
M14882,M,55.94,12.88,12.25,72.61,2,95.1,1.73,93.02,25.28,82.67
L47203,L,53.45,11.86,10.4,81.97,5,95.84,1.81,86.56,23.57,83.55
M14884,M,56.38,14.92,8.5,70.59,5,96.6,1.87,105.82,29.12,80.85
